is_virus	filename	libs
1	VirusShare_44a578f74f71c566b2ea3702a581bf0d	kernel32.dll
1	VirusShare_852c5ccb274e5cac09cbaa0bf6ee9d76	kernel32.dll,advapi32.dll,comctl32.dll,comdlg32.dll,gdi32.dll,oleaut32.dll,shell32.dll,user32.dll
1	VirusShare_d7e9e47398dd04225d21fa3afc3acc5a	msvcrt.dll,kernel32.dll,user32.dll,advapi32.dll,secur32.dll,comctl32.dll,shlwapi.dll,gdi32.dll,gdiplus.dll
1	VirusShare_04dee410f3aef6ff2fbbf58cc6a38fbf	kernel32.dll,user32.dll,gdi32.dll,advapi32.dll,ole32.dll,oleaut32.dll,wininet.dll,netapi32.dll,urlmon.dll,atl.dll,msvcp60.dll,msvcrt.dll,oleaut32.dll,kernel32.dll
1	VirusShare_04ce876f84647d16e6ef35a6deae629f	kernel32.dll,advapi32.dll,msvcrt.dll,user32.dll,ws2_32.dll
1	2019-03-15T04_58_59+00_00_29978.exe	gdi32.dll,kernel32.dll,msimg32.dll,ole32.dll
1	2018-09-10T13_37_19-05_00_8445.exe	kernel32.dll,user32.dll,advapi32.dll,oleaut32.dll,kernel32.dll,advapi32.dll,kernel32.dll,version.dll,gdi32.dll,user32.dll,kernel32.dll,oleaut32.dll,comctl32.dll,winspool.drv,shell32.dll,comdlg32.dll,shfolder.dll
1	VirusShare_2a75f86e93c2b32d36d52228c45161cb	version.dll,wininet.dll,winmm.dll,kernel32.dll,user32.dll,gdi32.dll,comdlg32.dll,winspool.drv,advapi32.dll,shell32.dll,comctl32.dll,shlwapi.dll,oledlg.dll,ole32.dll,oleaut32.dll
1	2020-02-17T21_09_26+00_00_116527.exe	ntdll.dll,kernel32.dll,user32.dll,comctl32.dll,shell32.dll,advapi32.dll,authz.dll
1	VirusShare_ad981fa364da407ed34287d555f9c92a	kernel32.dll
1	VirusShare_16bb9def4fabfa2ccb3efc1ca5bfc2fa	kernel32.dll
1	VirusShare_0d4145dc0becef32011f8801122b91d0	kernel32.dll,user32.dll,advapi32.dll,oleaut32.dll,version.dll,gdi32.dll,ole32.dll,comctl32.dll,shell32.dll,wininet.dll,urlmon.dll,wsock32.dll,netapi32.dll
0	klshwmsg.exe	klcsstd2.dll,kernel32.dll,user32.dll,gdi32.dll,shell32.dll,advapi32.dll,msimg32.dll,shlwapi.dll,uxtheme.dll,gdiplus.dll,imm32.dll,winmm.dll,winspool.drv,ole32.dll
1	VirusShare_00ece4fceef54bcffb45c4c00af93aae	kernel32.dll,msvbvm60.dll,oleaut32.dll,kernel32.dll
1	VirusShare_41c99df69e800394113e3714b0bf3128	msvbvm60.dll
0	BackgroundTransferHost.exe	msvcrt.dll,api-ms-win-core-winrt-string-l1-1-0.dll,api-ms-win-core-winrt-l1-1-0.dll,api-ms-win-core-winrt-error-l1-1-0.dll,api-ms-win-core-errorhandling-l1-1-0.dll,api-ms-win-core-com-l1-1-0.dll,api-ms-win-eventing-provider-l1-1-0.dll,api-ms-win-core-synch-l1-2-0.dll,api-ms-win-core-processthreads-l1-1-0.dll,api-ms-win-core-libraryloader-l1-2-0.dll,api-ms-win-core-profile-l1-1-0.dll,api-ms-win-core-sysinfo-l1-1-0.dll
0	CSPSetup4.0.exe	comctl32.dll,shell32.dll,gdi32.dll,user32.dll,ole32.dll,oleaut32.dll,kernel32.dll,msvcrt.dll
1	VirusShare_1b75e71d364854bd232aac264b16ef72	kernel32.dll
0	dvdplay.exe	advapi32.dll,kernel32.dll,msvcrt.dll
1	2020-02-17T21_09_26+00_00_114671.exe	kernel32.dll
0	tred.exe	cgraph.dll,getopt.dll,vcruntime140.dll,api-ms-win-crt-heap-l1-1-0.dll,api-ms-win-crt-runtime-l1-1-0.dll,api-ms-win-crt-stdio-l1-1-0.dll,api-ms-win-crt-time-l1-1-0.dll,api-ms-win-crt-math-l1-1-0.dll,api-ms-win-crt-locale-l1-1-0.dll,kernel32.dll
1	2020-02-17T21_09_26+00_00_104458.exe	mscoree.dll
1	VirusShare_247204c3f6398a5b871321964f11f4e8	kernel32.dll
1	VirusShare_e12de73410c77ec66dede6d628d636ef	gdiplus.dll,wininet.dll,shlwapi.dll,kernel32.dll,user32.dll,gdi32.dll,advapi32.dll,shell32.dll,ole32.dll,oleaut32.dll,comctl32.dll
0	findfs.exe	cygblkid-1.dll,cygwin1.dll,cygintl-8.dll,kernel32.dll
1	VirusShare_cab49331fca80150b609b96a6b4fcf03	kernel32.dll,user32.dll,gdi32.dll,shell32.dll,advapi32.dll,comctl32.dll,ole32.dll,version.dll
1	2019-10-02T06_37_42+00_00_13877.exe	kernel32.dll,user32.dll,gdi32.dll,advapi32.dll
1	VirusShare_ae0e0b4fd40306e69a90bbc25a79bc32	kernel32.dll,user32.dll,advapi32.dll,oleaut32.dll,kernel32.dll,kernel32.dll,user32.dll
0	pango-view.exe	cygpango-1.0-0.dll,cygpangocairo-1.0-0.dll,cygpangoft2-1.0-0.dll,cygpangoxft-1.0-0.dll,cygcairo-2.dll,cygwin1.dll,cygfontconfig-1.dll,cygglib-2.0-0.dll,cyggobject-2.0-0.dll,cygx11-6.dll,cygxft-2.dll,kernel32.dll
1	2018-10-09T02_32_32-05_00_9924.exe	kernel32.dll,user32.dll,gdi32.dll,shell32.dll,advapi32.dll,comctl32.dll,ole32.dll,version.dll
1	VirusShare_280aca2841277757b4cb5bf6eb90db59	kernel32.dll,user32.dll,gdi32.dll,comdlg32.dll,advapi32.dll,shell32.dll,ole32.dll,oleaut32.dll,shlwapi.dll
1	2020-02-17T21_09_26+00_00_119180.exe	mscoree.dll
0	AcroRd32.exe	kernel32.dll,user32.dll,advapi32.dll,shlwapi.dll
0	git-show-ref.exe	libiconv-2.dll,libintl-8.dll,libpcre2-8-0.dll,zlib1.dll,advapi32.dll,kernel32.dll,msvcrt.dll,ntdll.dll,user32.dll,ws2_32.dll,libssp-0.dll
1	VirusShare_07e9efeb418c63b7ad68ed87883f681d	kernel32.dll,user32.dll,advapi32.dll,oleaut32.dll,kernel32.dll,advapi32.dll,kernel32.dll,version.dll,gdi32.dll,user32.dll,kernel32.dll,oleaut32.dll,ole32.dll,comctl32.dll,shell32.dll,comdlg32.dll,wsock32.dll,msvcrt.dll,iphlpapi.dll,ws2_32.dll,psapi.dll
1	VirusShare_1abe7217d37484816f43612c18487a6a	kernel32.dll,user32.dll,imm32.dll,kernel32.dll,user32.dll
0	vmware-remotemks.exe	msvcr90.dll,ws2_32.dll,setupapi.dll,kernel32.dll,user32.dll,gdi32.dll,advapi32.dll,ole32.dll,oleaut32.dll,shell32.dll,crypt32.dll,winmm.dll,wtsapi32.dll
1	VirusShare_2d47fc38ab5f82ab7159c762274c2e38	msvbvm60.dll
0	HelpSetupLP_x86_chs.exe	msvcrt.dll,advapi32.dll,kernel32.dll,user32.dll,ntdll.dll,comctl32.dll,shell32.dll
0	jcsrc-oa.exe	mscoree.dll
1	2018-09-25T06_28_49-05_00_9360.exe	mscoree.dll
1	VirusShare_44eb96bdf46fec363b4052f4a8765deb	mscoree.dll
0	tv_agent.exe	kernel32.dll
0	readshortcut.exe	cygwin1.dll,cygpopt-0.dll,kernel32.dll,ole32.dll
0	ExtExport.exe	advapi32.dll,kernel32.dll,msvcrt.dll,ole32.dll,shlwapi.dll,user32.dll,shell32.dll,iertutil.dll
1	VirusShare_05026d1eda99dc2ead33595b3274da66	shell32.dll,wininet.dll,wsock32.dll,kernel32.dll,user32.dll,advapi32.dll,crtdll.dll
0	oh.exe	advapi32.dll,kernel32.dll,version.dll,comctl32.dll,comdlg32.dll,gdi32.dll,user32.dll,oleaut32.dll
